,;: Restarting fuzzing
6,17904,2427782891,-;device lo left promiscuous mode
6,17905,2427784322,-;device lo entered promiscuous mode
6,17906,2427784841,-;device lo left promiscuous mode
6,17907,2427786372,-;device lo entered promiscuous mode
6,17908,2427786930,-;device lo left promiscuous mode
6,17909,2427788378,-;device lo entered promiscuous mode
6,17910,2427788938,-;device lo left promiscuous mode
6,17911,2427790738,-;device lo entered promiscuous mode
6,17912,2427791237,-;device lo left promiscuous mode
6,17913,2427792714,-;device lo entered promiscuous mode
6,17914,2427793253,-;device lo left promiscuous mode
6,17915,2427794661,-;device lo entered promiscuous mode
6,17916,2427795183,-;device lo left promiscuous mode
6,17917,2427796544,-;device lo entered promiscuous mode
6,17918,2427797064,-;device lo left promiscuous mode
6,17919,2427798804,-;device lo entered promiscuous mode
6,17920,2427799440,-;device lo left promiscuous mode
6,17921,2427801137,-;device lo entered promiscuous mode
6,17922,2427801821,-;device lo left promiscuous mode
6,17923,2427803871,-;device lo entered promiscuous mode
6,17924,2427804532,-;device lo left promiscuous mode
6,17925,2427806211,-;device lo entered promiscuous mode
6,17926,2427806875,-;device lo left promiscuous mode
6,17927,2427808352,-;device lo entered promiscuous mode
6,17928,2427809039,-;device lo left promiscuous mode
6,17929,2427810675,-;device lo entered promiscuous mode
6,17930,2427811376,-;device lo left promiscuous mode
6,17931,2427812757,-;device lo entered promiscuous mode
6,17932,2427813452,-;device lo left promiscuous mode
6,17933,2427815239,-;device lo entered promiscuous mode
6,17934,2427815937,-;device lo left promiscuous mode
6,17935,2427817538,-;device lo entered promiscuous mode
6,17936,2427818171,-;device lo left promiscuous mode
6,17937,2427819571,-;device lo entered promiscuous mode
6,17938,2427820265,-;device lo left promiscuous mode
6,17939,2427821649,-;device lo entered promiscuous mode
6,17940,2427822278,-;device lo left promiscuous mode
6,17941,2427823882,-;device lo entered promiscuous mode
6,17942,2427824553,-;device lo left promiscuous mode
6,17943,2427826029,-;device lo entered promiscuous mode
6,17944,2427826720,-;device lo left promiscuous mode
6,17945,2427828358,-;device lo entered promiscuous mode
6,17946,2427829043,-;device lo left promiscuous mode
6,17947,2427830677,-;device lo entered promiscuous mode
6,17948,2427831294,-;device lo left promiscuous mode
6,17949,2427832700,-;device lo entered promiscuous mode
6,17950,2427833341,-;device lo left promiscuous mode
6,17951,2427834925,-;device lo entered promiscuous mode
6,17952,2427835601,-;device lo left promiscuous mode
6,17953,2427837023,-;device lo entered promiscuous mode
6,17954,2427837688,-;device lo left promiscuous mode
6,17955,2427839061,-;device lo entered promiscuous mode
6,17956,2427839745,-;device lo left promiscuous mode
6,17957,2427841292,-;device lo entered promiscuous mode
6,17958,2427841978,-;device lo left promiscuous mode
6,17959,2427843332,-;device lo entered promiscuous mode
6,17960,2427844042,-;device lo left promiscuous mode
6,17961,2427845424,-;device lo entered promiscuous mode
6,17962,2427846053,-;device lo left promiscuous mode
6,17963,2427847403,-;device lo entered promiscuous mode
6,17964,2427848108,-;device lo left promiscuous mode
6,17965,2427849582,-;device lo entered promiscuous mode
6,17966,2427850244,-;device lo left promiscuous mode
6,17967,2427851821,-;device lo entered promiscuous mode
6,17968,2427852486,-;device lo left promiscuous mode
6,17969,2427853852,-;device lo entered promiscuous mode
6,17970,2427854548,-;device lo left promiscuous mode
6,17971,2427855907,-;device lo entered promiscuous mode
6,17972,2427856597,-;device lo left promiscuous mode
6,17973,2427858055,-;device lo entered promiscuous mode
6,17974,2427858691,-;device lo left promiscuous mode
6,17975,2427860036,-;device lo entered promiscuous mode
6,17976,2427860731,-;device lo left promiscuous mode
6,17977,2427862265,-;device lo entered promiscuous mode
6,17978,2427862865,-;device lo left promiscuous mode
6,17979,2427864204,-;device lo entered promiscuous mode
6,17980,2427864898,-;device lo left promiscuous mode
6,17981,2427866546,-;device lo entered promiscuous mode
6,17982,2427867250,-;device lo left promiscuous mode
6,17983,2427868637,-;device lo entered promiscuous mode
6,17984,2427869330,-;device lo left promiscuous mode
6,17985,2427870721,-;device lo entered promiscuous mode
6,17986,2427871414,-;device lo left promiscuous mode
6,17987,2427872899,-;device lo entered promiscuous mode
6,17988,2427873591,-;device lo left promiscuous mode
6,17989,2427874844,-;device lo entered promiscuous mode
6,17990,2427875544,-;device lo left promiscuous mode
6,17991,2427876901,-;device lo entered promiscuous mode
6,17992,2427877594,-;device lo left promiscuous mode
6,17993,2427878972,-;device lo entered promiscuous mode
6,17994,2427879661,-;device lo left promiscuous mode
6,17995,2427880994,-;device lo entered promiscuous mode
6,17996,2427881680,-;device lo left promiscuous mode
6,17997,2427883062,-;device lo entered promiscuous mode
6,17998,2427883761,-;device lo left promiscuous mode
6,17999,2427885140,-;device lo entered promiscuous mode
6,18000,2427885798,-;device lo left promiscuous mode
6,18001,2427887200,-;device lo entered promiscuous mode
6,18002,2427887892,-;device lo left promiscuous mode
6,18003,2427889315,-;device lo entered promiscuous mode
6,18004,2427889974,-;device lo left promiscuous mode
6,18005,2427891557,-;device lo entered promiscuous mode
6,18006,2427892177,-;device lo left promiscuous mode
6,18007,2427893759,-;device lo entered promiscuous mode
6,18008,2427894377,-;device lo left promiscuous mode
6,18009,2427895959,-;device lo entered promiscuous mode
6,18010,2427896620,-;device lo left promiscuous mode
6,18011,2427898306,-;device lo entered promiscuous mode
6,18012,2427898995,-;device lo left promiscuous mode
6,18013,2427900551,-;device lo entered promiscuous mode
6,18014,2427901315,-;device lo left promiscuous mode
6,18015,2427903290,-;device lo entered promiscuous mode
6,18016,2427903989,-;device lo left promiscuous mode
6,18017,2427905669,-;device lo entered promiscuous mode
6,18018,2427906358,-;device lo left promiscuous mode
6,18019,2427907976,-;device lo entered promiscuous mode
6,18020,2427908662,-;device lo left promiscuous mode
6,18021,2427910341,-;device lo entered promiscuous mode
6,18022,2427910986,-;device lo left promiscuous mode
6,18023,2427946520,-;device lo entered promiscuous mode
6,18024,2427947211,-;device lo left promiscuous mode
6,18025,2427948615,-;device lo entered promiscuous mode
6,18026,2427949303,-;device lo left promiscuous mode
6,18027,2427950687,-;device lo entered promiscuous mode
6,18028,2427951383,-;device lo left promiscuous mode
6,18029,2427952758,-;device lo entered promiscuous mode
6,18030,2427953445,-;device lo left promiscuous mode
6,18031,2427954826,-;device lo entered promiscuous mode
6,18032,2427955506,-;device lo left promiscuous mode
6,18033,2427956960,-;device lo entered promiscuous mode
6,18034,2427957586,-;device lo left promiscuous mode
6,18035,2427959305,-;device lo entered promiscuous mode
6,18036,2427960003,-;device lo left promiscuous mode
6,18037,2427961503,-;device lo entered promiscuous mode
6,18038,2427962160,-;device lo left promiscuous mode
6,18039,2427963778,-;device lo entered promiscuous mode
6,18040,2427964446,-;device lo left promiscuous mode
6,18041,2427965836,-;device lo entered promiscuous mode
6,18042,2427966479,-;device lo left promiscuous mode
6,18043,2427967848,-;device lo entered promiscuous mode
6,18044,2427968540,-;device lo left promiscuous mode
6,18045,2427969854,-;device lo entered promiscuous mode
6,18046,2427970518,-;device lo left promiscuous mode
6,18047,2427972172,-;device lo entered promiscuous mode
6,18048,2427972805,-;device lo left promiscuous mode
6,18049,2427974355,-;device lo entered promiscuous mode
6,18050,2427975017,-;device lo left promiscuous mode
6,18051,2427976498,-;device lo entered promiscuous mode
6,18052,2427977162,-;device lo left promiscuous mode
6,18053,2427978598,-;device lo entered promiscuous mode
6,18054,2427979252,-;device lo left promiscuous mode
6,18055,2427980726,-;device lo entered promiscuous mode
6,18056,2427981402,-;device lo left promiscuous mode
6,18057,2427982758,-;device lo entered promiscuous mode
6,18058,2427983426,-;device lo left promiscuous mode
6,18059,2427984802,-;device lo entered promiscuous mode
6,18060,2427985469,-;device lo left promiscuous mode
6,18061,2427986840,-;device lo entered promiscuous mode
6,18062,2427987458,-;device lo left promiscuous mode
6,18063,2428168489,-;device lo entered promiscuous mode
6,18064,2428169066,-;device lo left promiscuous mode
6,18065,2428172741,-;device lo entered promiscuous mode
6,18066,2428173385,-;device lo left promiscuous mode
6,18067,2428176400,-;device lo entered promiscuous mode
6,18068,2428177047,-;device lo left promiscuous mode
6,18069,2428180537,-;device lo entered promiscuous mode
6,18070,2428181174,-;device lo left promiscuous mode
6,18071,2428184086,-;device lo entered promiscuous mode
6,18072,2428184753,-;device lo left promiscuous mode
6,18073,2428187855,-;device lo entered promiscuous mode
6,18074,2428188423,-;device lo left promiscuous mode
6,18075,2428191353,-;device lo entered promiscuous mode
6,18076,2428192031,-;device lo left promiscuous mode
6,18077,2428195052,-;device lo entered promiscuous mode
6,18078,2428195728,-;device lo left promiscuous mode
6,18079,2428199211,-;device lo entered promiscuous mode
6,18080,2428199888,-;device lo left promiscuous mode
6,18081,2428201469,-;device lo entered promiscuous mode
6,18082,2428202120,-;device lo left promiscuous mode
6,18083,2428203580,-;device lo entered promiscuous mode
6,18084,2428204229,-;device lo left promiscuous mode
6,18085,2428205815,-;device lo entered promiscuous mode
6,18086,2428206361,-;device lo left promiscuous mode
6,18087,2428207709,-;device lo entered promiscuous mode
6,18088,2428208359,-;device lo left promiscuous mode
6,18089,2428209685,-;device lo entered promiscuous mode
6,18090,2428210360,-;device lo left promiscuous mode
6,18091,2428211978,-;device lo entered promiscuous mode
6,18092,2428212622,-;device lo left promiscuous mode
6,18093,2428214134,-;device lo entered promiscuous mode
6,18094,2428214770,-;device lo left promiscuous mode
6,18095,2428216211,-;device lo entered promiscuous mode
6,18096,2428216854,-;device lo left promiscuous mode
6,18097,2428218379,-;device lo entered promiscuous mode
6,18098,2428218959,-;device lo left promiscuous mode
6,18099,2428220432,-;device lo entered promiscuous mode
6,18100,2428221066,-;device lo left promiscuous mode
6,18101,2428222575,-;device lo entered promiscuous mode
6,18102,2428223210,-;device lo left promiscuous mode
6,18103,2428394203,-;device lo entered promiscuous mode
6,18104,2428395131,-;device lo left promiscuous mode
6,18105,2428397120,-;device lo entered promiscuous mode
6,18106,2428397751,-;device lo left promiscuous mode
6,18107,2428399370,-;device lo entered promiscuous mode
6,18108,2428400096,-;device lo left promiscuous mode
6,18109,2428401703,-;device lo entered promiscuous mode
6,18110,2428402392,-;device lo left promiscuous mode
6,18111,2428403850,-;device lo entered promiscuous mode
6,18112,2428404526,-;device lo left promiscuous mode
6,18113,2428405969,-;device lo entered promiscuous mode
6,18114,2428406653,-;device lo left promiscuous mode
6,18115,2428407960,-;device lo entered promiscuous mode
6,18116,2428408637,-;device lo left promiscuous mode
6,18117,2428410017,-;device lo entered promiscuous mode
6,18118,2428410694,-;device lo left promiscuous mode
6,18119,2428411978,-;device lo entered promiscuous mode
6,18120,2428412661,-;device lo left promiscuous mode
6,18121,2428414024,-;device lo entered promiscuous mode
6,18122,2428414797,-;device lo left promiscuous mode
6,18123,2428416097,-;device lo entered promiscuous mode
6,18124,2428416776,-;device lo left promiscuous mode
6,18125,2428418123,-;device lo entered promiscuous mode
6,18126,2428418770,-;device lo left promiscuous mode
6,18127,2428420097,-;device lo entered promiscuous mode
6,18128,2428420723,-;device lo left promiscuous mode
6,18129,2428422413,-;device lo entered promiscuous mode
6,18130,2428588665,-;device lo left promiscuous mode
6,18131,2428590041,-;device lo entered promiscuous mode
6,18132,2428592677,-;device lo left promiscuous mode
6,18133,2428594343,-;device lo entered promiscuous mode
6,18134,2428597555,-;device lo left promiscuous mode
6,18135,2428598757,-;device lo entered promiscuous mode
6,18136,2428601184,-;device lo left promiscuous mode
6,18137,2428602383,-;device lo entered promiscuous mode
6,18138,2428604853,-;device lo left promiscuous mode
6,18139,2428606168,-;device lo entered promiscuous mode
6,18140,2428608691,-;device lo left promiscuous mode
6,18141,2428609894,-;device lo entered promiscuous mode
6,18142,2428612343,-;device lo left promiscuous mode
6,18143,2428613584,-;device lo entered promiscuous mode
6,18144,2428616154,-;device lo left promiscuous mode
6,18145,2428617334,-;device lo entered promiscuous mode
6,18146,2428619761,-;device lo left promiscuous mode
6,18147,2428620885,-;device lo entered promiscuous mode
6,18148,2428621410,-;device lo left promiscuous mode
6,18149,2428622690,-;device lo entered promiscuous mode
6,18150,2428623233,-;device lo left promiscuous mode
6,18151,2428624464,-;device lo entered promiscuous mode
6,18152,2428624906,-;device lo left promiscuous mode
6,18153,2428626097,-;device lo entered promiscuous mode
6,18154,2428626547,-;device lo left promiscuous mode
6,18155,2428627809,-;device lo entered promiscuous mode
6,18156,2428628264,-;device lo left promiscuous mode
6,18157,2428629740,-;device lo entered promiscuous mode
6,18158,2428630195,-;device lo left promiscuous mode
6,18159,2428631374,-;device lo entered promiscuous mode
6,18160,2428631837,-;device lo left promiscuous mode
6,18161,2428633028,-;device lo entered promiscuous mode
6,18162,2428633510,-;device lo left promiscuous mode
6,18163,2428634711,-;device lo entered promiscuous mode
6,18164,2428635241,-;device lo left promiscuous mode
6,18165,2428636490,-;device lo entered promiscuous mode
6,18166,2428637039,-;device lo left promiscuous mode
6,18167,2428638298,-;device lo entered promiscuous mode
6,18168,2428638751,-;device lo left promiscuous mode
6,18169,2428640007,-;device lo entered promiscuous mode
6,18170,2428907578,-;device lo left promiscuous mode
6,18171,2428908760,-;device lo entered promiscuous mode
6,18172,2428909973,-;device lo left promiscuous mode
6,18173,2428911066,-;device lo entered promiscuous mode
6,18174,2428912309,-;device lo left promiscuous mode
6,18175,2428913460,-;device lo entered promiscuous mode
6,18176,2428914691,-;device lo left promiscuous mode
6,18177,2428915839,-;device lo entered promiscuous mode
6,18178,2428917063,-;device lo left promiscuous mode
6,18179,2428918296,-;device lo entered promiscuous mode
6,18180,2428919546,-;device lo left promiscuous mode
6,18181,2428920666,-;device lo entered promiscuous mode
6,18182,2428921922,-;device lo left promiscuous mode
6,18183,2428923059,-;device lo entered promiscuous mode
6,18184,2428924297,-;device lo left promiscuous mode
6,18185,2428925401,-;device lo entered promiscuous mode
6,18186,2428926596,-;device lo left promiscuous mode
6,18187,2428927669,-;device lo entered promiscuous mode
6,18188,2428928916,-;device lo left promiscuous mode
6,18189,2428930304,-;device lo entered promiscuous mode
6,18190,2428931537,-;device lo left promiscuous mode
6,18191,2428932671,-;device lo entered promiscuous mode
6,18192,2428934193,-;device lo left promiscuous mode
6,18193,2428935350,-;device lo entered promiscuous mode
6,18194,2428936729,-;device lo left promiscuous mode
6,18195,2428937984,-;device lo entered promiscuous mode
6,18196,2428939332,-;device lo left promiscuous mode
6,18197,2428940815,-;device lo entered promiscuous mode
6,18198,2428942388,-;device lo left promiscuous mode
6,18199,2428966721,-;device lo entered promiscuous mode
6,18200,2428968015,-;device lo left promiscuous mode
6,18201,2428969074,-;device lo entered promiscuous mode
6,18202,2428970290,-;device lo left promiscuous mode
6,18203,2428971386,-;device lo entered promiscuous mode
6,18204,2428980842,-;device lo left promiscuous mode
6,18205,2428981978,-;device lo entered promiscuous mode
6,18206,2428982434,-;device lo left promiscuous mode
6,18207,2428983708,-;device lo entered promiscuous mode
6,18208,2428984152,-;device lo left promiscuous mode
6,18209,2428985285,-;device lo entered promiscuous mode
6,18210,2428985736,-;device lo left promiscuous mode
6,18211,2428986881,-;device lo entered promiscuous mode
6,18212,2428987320,-;device lo left promiscuous mode
6,18213,2428988466,-;device lo entered promiscuous mode
6,18214,2428988904,-;device lo left promiscuous mode
6,18215,2428990059,-;device lo entered promiscuous mode
6,18216,2428990505,-;device lo left promiscuous mode
6,18217,2428991636,-;device lo entered promiscuous mode
6,18218,2428992080,-;device lo left promiscuous mode
6,18219,2428993409,-;device lo entered promiscuous mode
6,18220,2428993851,-;device lo left promiscuous mode
6,18221,2428995030,-;device lo entered promiscuous mode
6,18222,2428995473,-;device lo left promiscuous mode
6,18223,2428996873,-;device lo entered promiscuous mode
6,18224,2428997344,-;device lo left promiscuous mode
6,18225,2428998791,-;device lo entered promiscuous mode
6,18226,2428999452,-;device lo left promiscuous mode
6,18227,2429000899,-;device lo entered promiscuous mode
6,18228,2429001554,-;device lo left promiscuous mode
6,18229,2429003033,-;device lo entered promiscuous mode
6,18230,2429003702,-;device lo left promiscuous mode
6,18231,2429005054,-;device lo entered promiscuous mode
6,18232,2429005743,-;device lo left promiscuous mode
6,18233,2429007233,-;device lo entered promiscuous mode
6,18234,2429007925,-;device lo left promiscuous mode
6,18235,2429009265,-;device lo entered promiscuous mode
6,18236,2429009970,-;device lo left promiscuous mode
6,18237,2429011714,-;device lo entered promiscuous mode
6,18238,2429012397,-;device lo left promiscuous mode
6,18239,2429014065,-;device lo entered promiscuous mode
6,18240,2429014746,-;device lo left promiscuous mode
6,18241,2429016115,-;device lo entered promiscuous mode
6,18242,2429016790,-;device lo left promiscuous mode
6,18243,2429018347,-;device lo entered promiscuous mode
6,18244,2429019016,-;device lo left promiscuous mode
6,18245,2429020365,-;device lo entered promiscuous mode
6,18246,2429021038,-;device lo left promiscuous mode
6,18247,2429022473,-;device lo entered promiscuous mode
6,18248,2429023135,-;device lo left promiscuous mode
6,18249,2429024500,-;device lo entered promiscuous mode
6,18250,2429025145,-;device lo left promiscuous mode
6,18251,2429026506,-;device lo entered promiscuous mode
6,18252,2429027144,-;device lo left promiscuous mode
6,18253,2429028876,-;device lo entered promiscuous mode
6,18254,2429029525,-;device lo left promiscuous mode
6,18255,2429030988,-;device lo entered promiscuous mode
6,18256,2429031614,-;device lo left promiscuous mode
6,18257,2429033043,-;device lo entered promiscuous mode
6,18258,2429033723,-;device lo left promiscuous mode
6,18259,2429035095,-;device lo entered promiscuous mode
6,18260,2429035778,-;device lo left promiscuous mode
6,18261,2429037118,-;device lo entered promiscuous mode
6,18262,2429037790,-;device lo left promiscuous mode
6,18263,2429039124,-;device lo entered promiscuous mode
6,18264,2429039809,-;device lo left promiscuous mode
6,18265,2429041113,-;device lo entered promiscuous mode
6,18266,2429041794,-;device lo left promiscuous mode
6,18267,2429043214,-;device lo entered promiscuous mode
6,18268,2429043900,-;device lo left promiscuous mode
6,18269,2429045234,-;device lo entered promiscuous mode
6,18270,2429045910,-;device lo left promiscuous mode
6,18271,2429047256,-;device lo entered promiscuous mode
6,18272,2429047900,-;device lo left promiscuous mode
6,18273,2429049230,-;device lo entered promiscuous mode
6,18274,2429049876,-;device lo left promiscuous mode
6,18275,2429051169,-;device lo entered promiscuous mode
6,18276,2429051849,-;device lo left promiscuous mode
6,18277,2429053185,-;device lo entered promiscuous mode
6,18278,2429053795,-;device lo left promiscuous mode
6,18279,2429055136,-;device lo entered promiscuous mode
6,18280,2429055764,-;device lo left promiscuous mode
6,18281,2429057098,-;device lo entered promiscuous mode
6,18282,2429057775,-;device lo left promiscuous mode
6,18283,2429059103,-;device lo entered promiscuous mode
6,18284,2429059728,-;device lo left promiscuous mode
6,18285,2429060987,-;device lo entered promiscuous mode
6,18286,2429061542,-;device lo left promiscuous mode
6,18287,2429062740,-;device lo entered promiscuous mode
6,18288,2429063277,-;device lo left promiscuous mode
6,18289,2429064486,-;device lo entered promiscuous mode
6,18290,2429064940,-;device lo left promiscuous mode
6,18291,2429066232,-;device lo entered promiscuous mode
6,18292,2429066692,-;device lo left promiscuous mode
6,18293,2429067845,-;device lo entered promiscuous mode
6,18294,2429068296,-;device lo left promiscuous mode
6,18295,2429069432,-;device lo entered promiscuous mode
6,18296,2429069892,-;device lo left promiscuous mode
6,18297,2429071135,-;device lo entered promiscuous mode
6,18298,2429071606,-;device lo left promiscuous mode
6,18299,2429072758,-;device lo entered promiscuous mode
6,18300,2429073209,-;device lo left promiscuous mode
6,18301,2429074369,-;device lo entered promiscuous mode
6,18302,2429074811,-;device lo left promiscuous mode
6,18303,2429075922,-;device lo entered promiscuous mode
6,18304,2429076359,-;device lo left promiscuous mode
6,18305,2429077482,-;device lo entered promiscuous mode
6,18306,2429078002,-;device lo left promiscuous mode
6,18307,2429079176,-;device lo entered promiscuous mode
6,18308,2429079714,-;device lo left promiscuous mode
6,18309,2429080882,-;device lo entered promiscuous mode
6,18310,2429081420,-;device lo left promiscuous mode
6,18311,2429082679,-;device lo entered promiscuous mode
6,18312,2429083193,-;device lo left promiscuous mode
6,18313,2429084608,-;device lo entered promiscuous mode
6,18314,2429085128,-;device lo left promiscuous mode
6,18315,2429086382,-;device lo entered promiscuous mode
6,18316,2429086881,-;device lo left promiscuous mode
6,18317,2429088079,-;device lo entered promiscuous mode
6,18318,2429088573,-;device lo left promiscuous mode
6,18319,2429089720,-;device lo entered promiscuous mode
6,18320,2429090164,-;device lo left promiscuous mode
6,18321,2429091266,-;device lo entered promiscuous mode
6,18322,2429091713,-;device lo left promiscuous mode
6,18323,2429092825,-;device lo entered promiscuous mode
6,18324,2429093276,-;device lo left promiscuous mode
6,18325,2429094438,-;device lo entered promiscuous mode
6,18326,2429094955,-;device lo left promiscuous mode
6,18327,2429096287,-;device lo entered promiscuous mode
6,18328,2429096783,-;device lo left promiscuous mode
6,18329,2429098200,-;device lo entered promiscuous mode
6,18330,2429098712,-;device lo left promiscuous mode
6,18331,2429099936,-;device lo entered promiscuous mode
6,18332,2429100466,-;device lo left promiscuous mode
6,18333,2429101653,-;device lo entered promiscuous mode
6,18334,2429102164,-;device lo left promiscuous mode
6,18335,2429103274,-;device lo entered promiscuous mode
6,18336,2429103728,-;device lo left promiscuous mode
6,18337,2429104873,-;device lo entered promiscuous mode
6,18338,2429105315,-;device lo left promiscuous mode
6,18339,2429106440,-;device lo entered promiscuous mode
6,18340,2429106883,-;device lo left promiscuous mode
6,18341,2429108014,-;device lo entered promiscuous mode
6,18342,2429108450,-;device lo left promiscuous mode
6,18343,2429109713,-;device lo entered promiscuous mode
6,18344,2429110153,-;device lo left promiscuous mode
6,18345,2429111315,-;device lo entered promiscuous mode
6,18346,2429111851,-;device lo left promiscuous mode
6,18347,2429112986,-;device lo entered promiscuous mode
6,18348,2429113439,-;device lo left promiscuous mode
6,18349,2429114551,-;device lo entered promiscuous mode
6,18350,2429115001,-;device lo left promiscuous mode
6,18351,2429116287,-;device lo entered promiscuous mode
6,18352,2429116795,-;device lo left promiscuous mode
6,18353,2429118022,-;device lo entered promiscuous mode
6,18354,2429118463,-;device lo left promiscuous mode
6,18355,2429119605,-;device lo entered promiscuous mode
6,18356,2429120047,-;device lo left promiscuous mode
6,18357,2429121324,-;device lo entered promiscuous mode
6,18358,2429121773,-;device lo left promiscuous mode
6,18359,2429122885,-;device lo entered promiscuous mode
6,18360,2429123325,-;device lo left promiscuous mode
6,18361,2429124490,-;device lo entered promiscuous mode
6,18362,2429125013,-;device lo left promiscuous mode
6,18363,2429126279,-;device lo entered promiscuous mode
6,18364,2429126787,-;device lo left promiscuous mode
6,18365,2429127987,-;device lo entered promiscuous mode
6,18366,2429128506,-;device lo left promiscuous mode
6,18367,2429129693,-;device lo entered promiscuous mode
6,18368,2429130136,-;device lo left promiscuous mode
6,18369,2429131245,-;device lo entered promiscuous mode
6,18370,2429131696,-;device lo left promiscuous mode
6,18371,2429132815,-;device lo entered promiscuous mode
6,18372,2429133297,-;device lo left promiscuous mode
6,18373,2429134571,-;device lo entered promiscuous mode
6,18374,2429135060,-;device lo left promiscuous mode
6,18375,2429136286,-;device lo entered promiscuous mode
6,18376,2429136744,-;device lo left promiscuous mode
6,18377,2429137889,-;device lo entered promiscuous mode
6,18378,2429138348,-;device lo left promiscuous mode
6,18379,2429139525,-;device lo entered promiscuous mode
6,18380,2429140050,-;device lo left promiscuous mode
6,18381,2429141267,-;device lo entered promiscuous mode
6,18382,2429141818,-;device lo left promiscuous mode
6,18383,2429143134,-;device lo entered promiscuous mode
6,18384,2429143675,-;device lo left promiscuous mode
6,18385,2429144909,-;device lo entered promiscuous mode
6,18386,2429145448,-;device lo left promiscuous mode
6,18387,2429146831,-;device lo entered promiscuous mode
6,18388,2429147377,-;device lo left promiscuous mode
6,18389,2429148521,-;device lo entered promiscuous mode
6,18390,2429148963,-;device lo left promiscuous mode
6,18391,2429150180,-;device lo entered promiscuous mode
6,18392,2429150679,-;device lo left promiscuous mode
6,18393,2429180610,-;device lo entered promiscuous mode
6,18394,2429181207,-;device lo left promiscuous mode
6,18395,2429182489,-;device lo entered promiscuous mode
6,18396,2429183053,-;device lo left promiscuous mode
6,18397,2429184357,-;device lo entered promiscuous mode
6,18398,2429184883,-;device lo left promiscuous mode
6,18399,2429186148,-;device lo entered promiscuous mode
6,18400,2429186682,-;device lo left promiscuous mode
6,18401,2429187964,-;device lo entered promiscuous mode
6,18402,2429188527,-;device lo left promiscuous mode
6,18403,2429189880,-;device lo entered promiscuous mode
6,18404,2429190409,-;device lo left promiscuous mode
6,18405,2429191634,-;device lo entered promiscuous mode
6,18406,2429192179,-;device lo left promiscuous mode
6,18407,2429193343,-;device lo entered promiscuous mode
6,18408,2429193875,-;device lo left promiscuous mode
6,18409,2429195174,-;device lo entered promiscuous mode
6,18410,2429195731,-;device lo left promiscuous mode
6,18411,2429197001,-;device lo entered promiscuous mode
6,18412,2429197546,-;device lo left promiscuous mode
6,18413,2429199054,-;device lo entered promiscuous mode
6,18414,2429199580,-;device lo left promiscuous mode
6,18415,2429200783,-;device lo entered promiscuous mode
6,18416,2429201288,-;device lo left promiscuous mode
6,18417,2429202571,-;device lo entered promiscuous mode
6,18418,2429203113,-;device lo left promiscuous mode
6,18419,2429204357,-;device lo entered promiscuous mode
6,18420,2429204865,-;device lo left promiscuous mode
6,18421,2429206065,-;device lo entered promiscuous mode
6,18422,2429206567,-;device lo left promiscuous mode
6,18423,2429207747,-;device lo entered promiscuous mode
6,18424,2429208262,-;device lo left promiscuous mode
6,18425,2429209418,-;device lo entered promiscuous mode
6,18426,2429209908,-;device lo left promiscuous mode
6,18427,2429211092,-;device lo entered promiscuous mode
6,18428,2429211626,-;device lo left promiscuous mode
6,18429,2429212820,-;device lo entered promiscuous mode
6,18430,2429213305,-;device lo left promiscuous mode
6,18431,2429214681,-;device lo entered promiscuous mode
6,18432,2429215188,-;device lo left promiscuous mode
6,18433,2429216427,-;device lo entered promiscuous mode
6,18434,2429216927,-;device lo left promiscuous mode
6,18435,2429218080,-;device lo entered promiscuous mode
6,18436,2429218593,-;device lo left promiscuous mode
6,18437,2429219786,-;device lo entered promiscuous mode
6,18438,2429220280,-;device lo left promiscuous mode
6,18439,2429221382,-;device lo entered promiscuous mode
6,18440,2429221917,-;device lo left promiscuous mode
6,18441,2429223114,-;device lo entered promiscuous mode
6,18442,2429223625,-;device lo left promiscuous mode
6,18443,2429224814,-;device lo entered promiscuous mode
6,18444,2429225337,-;device lo left promiscuous mode
6,18445,2429226557,-;device lo entered promiscuous mode
6,18446,2429227073,-;device lo left promiscuous mode
6,18447,2429228424,-;device lo entered promiscuous mode
6,18448,2429228971,-;device lo left promiscuous mode
6,18449,2429230226,-;device lo entered promiscuous mode
6,18450,2429230778,-;device lo left promiscuous mode
6,18451,2429231972,-;device lo entered promiscuous mode
6,18452,2429232521,-;device lo left promiscuous mode
6,18453,2429233741,-;device lo entered promiscuous mode
6,18454,2429234285,-;device lo left promiscuous mode
6,18455,2429235504,-;device lo entered promiscuous mode
6,18456,2429236040,-;device lo left promiscuous mode
6,18457,2429237257,-;device lo entered promiscuous mode
6,18458,2429237747,-;device lo left promiscuous mode
6,18459,2429239048,-;device lo entered promiscuous mode
6,18460,2429239569,-;device lo left promiscuous mode
6,18461,2429240749,-;device lo entered promiscuous mode
6,18462,2429241207,-;device lo left promiscuous mode
6,18463,2429242451,-;device lo entered promiscuous mode
6,18464,2429242908,-;device lo left promiscuous mode
6,18465,2429244051,-;device lo entered promiscuous mode
6,18466,2429244501,-;device lo left promiscuous mode
6,18467,2429245574,-;device lo entered promiscuous mode
6,18468,2429246004,-;device lo left promiscuous mode
6,18469,2429247138,-;device lo entered promiscuous mode
6,18470,2429247591,-;device lo left promiscuous mode
6,18471,2429248710,-;device lo entered promiscuous mode
6,18472,2429249152,-;device lo left promiscuous mode
6,18473,2429250274,-;device lo entered promiscuous mode
